Employee Code,OPTY ID,TITLE,NAME,Maiden Name,Mothers Maiden Name,LINE 1,LINE 2,LINE 3,CITY,STATE,Pincode,Telephone No,DOB,Father/Spouse Name,Preferred Mobile Number,Preferred E-mail Address
154,209,474,474,522,522,1021,1070,1116,1163,1209,1165,1213,589,588,1543,1590
192,248,505,505,552,552,1053,1101,1148,1196,1242,1194,1241,619,619,1570,1618
828,176,160,248,161,945,236,236,236,236,236,1306,1040,134,945,317,317
867,216,192,281,192,976,281,281,281,281,281,1351,1085,165,976,346,346
906,255,223,311,223,1008,325,325,325,325,325,1395,1128,196,1008,377,377
947,295,,343,254,1040,369,369,369,369,369,1436,1173,229,1040,408,408
985,334,,374,286,1071,414,414,414,414,414,1485,1218,260,1071,440,440
1026,374,,406,316,1102,459,459,459,459,459,1529,1263,291,1102,472,472
1064,413,,437,349,1133,504,504,504,504,504,1574,1307,323,1133,504,504
,452,,469,381,1165,548,548,548,548,548,,1352,354,1165,534,534
,492,,500,411,1196,593,593,593,593,593,,1396,386,1196,567,567
,531,,532,443,1228,637,637,637,637,637,,1441,,1228,597,597
,570,,563,473,1260,682,682,682,682,682,,1485,,1260,628,628
,610,,595,506,1290,726,726,726,726,726,,1530,,1290,,660
,649,,626,538,1323,771,771,771,771,771,,1574,,1323,,692
,,,657,569,1354,815,815,815,815,815,,,,1354,,723
,,,689,601,1385,860,860,860,860,860,,,,1385,,755
,,,720,633,1417,905,905,905,905,905,,,,1417,,787
,,,752,663,1448,949,949,949,949,,,,,1448,,818
,,,784,696,1480,995,995,995,995,,,,,1480,,849
,,,815,727,1512,1040,1040,1040,1040,,,,,1512,,880
,,,847,758,1543,1085,1085,1085,,,,,,1543,,913
,,,878,790,1575,1128,1128,1128,,,,,,1575,,944
,,,909,909,,1173,1173,1173,,,,,,1173,,976
,,,941,941,,1218,1218,1218,,,,,,1218,,1008
,,,972,974,,1262,1262,1262,,,,,,1262,,1038
,,,1004,1004,,1307,1307,1307,,,,,,1307,,1070
,,,1035,1036,,1351,1351,1351,,,,,,1351,,1101
,,,1068,1067,,1396,1396,1396,,,,,,1396,,1133
,,,1098,1099,,1441,1441,1441,,,,,,1441,,1165
,,,1130,1130,,1486,1486,1486,,,,,,1486,,1196
,,,1162,1161,,1528,1528,1528,,,,,,1528,,1227
,,,1193,1193,,1575,1575,1575,,,,,,1575,,1259
,,,1225,1225,,,,,,,,,,,,1291
,,,1256,1256,,,,,,,,,,,,1322
,,,1287,1288,,,,,,,,,,,,1353
,,,1319,1319,,,,,,,,,,,,1384
,,,1350,1350,,,,,,,,,,,,1417
,,,1381,1382,,,,,,,,,,,,1448
,,,1413,1414,,,,,,,,,,,,1479
,,,1445,1445,,,,,,,,,,,,1511
,,,1476,1477,,,,,,,,,,,,1542
,,,1508,1508,,,,,,,,,,,,1573
,,,1540,1540,,,,,,,,,,,,
,,,1570,1571,,,,,,,,,,,,
